Step,Score
1365000,0
1370000,0
1375000,0
1380000,0
1385000,0
1390000,0
1395000,0
1400000,0
1405000,100
1410000,0
1415000,0
1420000,0
1425000,0
1430000,0
1435000,0
1440000,0
1445000,0
1450000,0
1455000,0
1460000,0
1465000,0
1470000,0
1475000,100
1480000,0
1485000,0
1490000,0
1495000,0
1500000,0
1505000,0
1510000,0
1515000,0
1520000,0
1525000,100
1530000,0
1535000,0
1540000,0
1545000,0
1550000,0
1555000,0
1560000,0
1565000,0
1570000,0
1575000,0
1580000,0
1585000,0
1590000,0
1595000,0
1600000,100
1605000,0
1610000,0
1615000,0
1620000,0
1625000,0
1630000,0
1635000,0
1640000,0
1645000,0
1650000,0
1655000,0
1660000,0
1665000,0
1670000,0
1675000,0
1680000,0
1685000,0
1690000,0
1695000,0
1700000,0
1705000,0
1710000,0
1715000,0
1720000,0
1725000,0
1730000,100
1735000,0
1740000,0
1745000,0
1750000,0
1755000,0
1760000,0
1765000,0
1770000,0
1775000,0
1780000,0
1785000,0
1790000,0
1795000,0
1800000,0
1805000,0
1810000,0
1815000,0
1820000,0
1825000,0
1830000,0
1835000,0
1840000,0
1845000,0
1850000,0
1855000,0
1860000,0
1865000,0
1870000,0
1875000,0
1880000,100
1885000,0
1890000,100
1895000,0
1900000,0
1905000,0
1910000,0
1915000,0
1920000,200
1925000,0
1930000,0
1935000,0
1940000,0
1945000,0
1950000,0
1955000,0
1960000,0
1965000,0
1970000,0
1975000,0
1980000,0
1985000,0
1990000,0
1995000,0
2000000,0
2005000,0
2010000,0
2015000,0
2020000,100
2025000,0
2030000,0
2035000,0
2040000,0
2045000,0
2050000,0
2055000,0
2060000,0
2065000,0
2070000,0
2075000,0
2080000,0
2085000,0
2090000,0
2095000,100
2100000,0
2105000,0
2110000,0
2115000,0
2120000,0
2125000,0
2130000,0
2135000,0
2140000,0
2145000,0
2150000,0
2155000,100
2160000,0
2165000,0
2170000,0
2175000,100
2180000,0
2185000,0
2190000,0
2195000,0
2200000,0
2205000,0
2210000,0
2215000,0
2220000,0
2225000,0
2230000,0
2235000,100
2240000,0
2245000,0
2250000,0
2255000,0
2260000,0
2265000,0
2270000,0
2275000,0
2280000,0
2285000,0
2290000,0
2295000,0
2300000,0
2305000,100
2310000,0
2315000,0
2320000,200
2325000,0
2330000,0
2335000,0
2340000,0
2345000,0
2350000,0
2355000,0
2360000,0
2365000,0
2370000,0
2375000,100
2380000,0
2385000,0
2390000,0
2395000,0
2400000,0
2405000,0
2410000,0
2415000,100
2420000,0
2425000,0
2430000,0
2435000,0
2440000,0
2445000,0
2450000,0
2455000,0
2460000,0
2465000,0
2470000,0
2475000,0
2480000,0
2485000,0
2490000,0
2495000,0
2500000,0
2505000,0
2510000,0
2515000,0
2520000,0
2525000,0
2530000,0
2535000,0
2540000,0
2545000,0
2550000,0
2555000,0
2560000,0
2565000,0
2570000,0
2575000,0
2580000,0
2585000,0
2590000,100
2595000,0
2600000,0
2605000,0
2610000,0
2615000,0
2620000,0
2625000,0
2630000,0
2635000,0
2640000,0
2645000,0
2650000,100
2655000,0
2660000,0
2665000,0
2670000,0
2675000,0
2680000,0
2685000,0
2690000,0
2695000,0
2700000,0
2705000,0
2710000,0
2715000,0
2720000,0
2725000,0
2730000,0
2735000,0
2740000,0
2745000,0
2750000,0
2755000,0
2760000,0
2765000,0
2770000,0
2775000,100
2780000,0
2785000,0
2790000,0
2795000,0
2800000,0
2805000,0
2810000,0
2815000,0
2820000,0
2825000,0
2830000,0
2835000,0
2840000,0
2845000,0
2850000,0
2855000,0
2860000,0
2865000,0
2870000,0
2875000,0
2880000,0
2885000,0
2890000,100
2895000,100
2900000,0
2905000,0
2910000,0
2915000,0
2920000,0
2925000,0
2930000,0
2935000,0
2940000,100
2945000,0
2950000,0
2955000,0
2960000,100
2965000,0
2970000,0
2975000,0
2980000,0
2985000,0
2990000,0
2995000,0
3000000,100
3005000,0
3010000,0
3015000,0
3020000,0
3025000,0
3030000,0
3035000,0
3040000,0
3045000,0
3050000,0
3055000,0
3060000,0
3065000,0
3070000,0
3075000,0
3080000,0
3085000,0
3090000,0
3095000,0
3100000,0
3105000,0
3110000,0
3115000,0
3120000,0
3125000,0
3130000,0
3135000,0
3140000,0
3145000,0
3150000,0
3155000,0
3160000,0
3165000,0
3170000,0
3175000,0
3180000,0
3185000,0
3190000,0
3195000,0
3200000,0
3205000,0
3210000,0
3215000,0
3220000,0
3225000,0
3230000,0
3235000,0
3240000,0
3245000,0
3250000,0
3255000,0
3260000,0
3265000,0
3270000,0
3275000,0
3280000,0
3285000,0
3290000,0
3295000,0
3300000,0
3305000,0
3310000,0
3315000,0
3320000,0
3325000,0
3330000,0
3335000,0
3340000,0
3345000,0
3350000,0
3355000,0
3360000,0
3365000,0
3370000,0
3375000,0
3380000,0
3385000,100
3390000,0
3395000,0
3400000,0
3405000,0
3410000,0
3415000,0
3420000,0
3425000,0
3430000,0
3435000,0
3440000,0
3445000,0
3450000,0
3455000,0
3460000,0
3465000,0
3470000,0
3475000,0
3480000,0
3485000,100
3490000,0
3495000,0
3500000,0
3505000,0
3510000,0
3515000,0
3520000,0
3525000,0
3530000,0
3535000,0
3540000,0
3545000,0
3550000,0
3555000,0
3560000,0
3565000,0
3570000,0
3575000,0
3580000,100
3585000,0
3590000,0
3595000,0
3600000,0
3605000,0
3610000,0
3615000,0
3620000,0
3625000,0
3630000,0
3635000,0
3640000,0
3645000,0
3650000,0
3655000,0
3660000,0
3665000,100
3670000,0
3675000,0
3680000,0
3685000,0
3690000,0
3695000,0
3700000,0
3705000,0
3710000,0
3715000,0
3720000,0
3725000,0
3730000,0
3735000,0
3740000,0
3745000,0
3750000,0
3755000,0
3760000,0
3765000,0
3770000,100
3775000,0
3780000,0
3785000,0
3790000,0
3795000,0
3800000,0
3805000,0
3810000,0
3815000,0
3820000,0
3825000,0
3830000,0
3835000,0
3840000,0
3845000,0
3850000,0
3855000,0
3860000,0
3865000,0
3870000,0
3875000,0
3880000,0
3885000,0
3890000,0
3895000,0
3900000,0
3905000,0
3910000,0
3915000,0
3920000,0
3925000,0
3930000,0
3935000,0
3940000,0
3945000,0
3950000,0
3955000,0
3960000,0
3965000,100
3970000,0
3975000,0
3980000,0
3985000,0
3990000,0
3995000,0
4000000,0
4005000,0
4010000,0
4015000,0
4020000,100
4025000,0
4030000,0
4035000,0
4040000,0
4045000,0
4050000,0
4055000,0
4060000,0
4065000,0
4070000,0
4075000,0
4080000,0
4085000,0
4090000,0
4095000,0
4100000,0
4105000,0
4110000,0
4115000,0
4120000,0
4125000,0
4130000,0
4135000,0
4140000,100
4145000,0
4150000,0
4155000,0
4160000,0
4165000,0
4170000,0
4175000,0
4180000,0
4185000,0
4190000,0
4195000,0
4200000,0
4205000,0
4210000,0
4215000,0
4220000,0
4225000,0
4230000,0
4235000,0
4240000,0
4245000,0
4250000,100
4255000,0
4260000,0
4265000,0
4270000,0
4275000,0
4280000,0
4285000,0
4290000,0
4295000,0
4300000,0
4305000,0
4310000,0
4315000,0
4320000,0
4325000,0
4330000,0
4335000,0
4340000,0
4345000,0
4350000,0
4355000,0
4360000,0
4365000,0
4370000,0
4375000,0
4380000,0
4385000,0
4390000,0
4395000,0
4400000,0
4405000,0
4410000,0
4415000,0
4420000,0
4425000,0
4430000,0
4435000,0
4440000,0
4445000,0
4450000,0
4455000,100
4460000,100
4465000,0
4470000,0
4475000,0
4480000,0
4485000,0
4490000,0
4495000,0
4500000,0
4505000,0
4510000,0
4515000,0
4520000,0
4525000,0
4530000,0
4535000,0
4540000,0
4545000,0
4550000,0
4555000,0
4560000,0
4565000,0
4570000,0
4575000,0
4580000,0
4585000,0
4590000,0
4595000,0
4600000,0
4605000,100
4610000,0
4615000,0
4620000,0
4625000,0
4630000,0
4635000,0
4640000,0
4645000,0
4650000,0
4655000,0
4660000,0
4665000,0
4670000,0
4675000,0
4680000,0
4685000,0
4690000,0
4695000,0
4700000,0
4705000,0
4710000,0
4715000,0
4720000,0
4725000,0
4730000,0
4735000,100
4740000,0
4745000,0
4750000,0
4755000,0
4760000,0
4765000,0
4770000,0
4775000,0
4780000,0
4785000,0
4790000,0
4795000,0
4800000,0
4805000,0
4810000,0
4815000,0
4820000,0
4825000,0
4830000,0
4835000,0
4840000,0
4845000,0
4850000,0
4855000,0
4860000,0
4865000,0
4870000,0
4875000,0
4880000,0
4885000,0
4890000,0
4895000,0
4900000,0
4905000,100
4910000,0
4915000,0
4920000,0
4925000,0
4930000,0
4935000,0
4940000,0
4945000,0
4950000,0
4955000,0
4960000,0
4965000,0
4970000,0
4975000,0
4980000,0
4985000,0
4990000,0
4995000,0
5000000,0
5005000,0
5010000,0
5015000,0
5020000,0
5025000,0
5030000,0
5035000,0
5040000,0
5045000,100
5050000,0
5055000,0
5060000,0
5065000,0
5070000,0
5075000,0
5080000,0
5085000,0
5090000,0
5095000,0
5100000,0
5105000,100
5110000,0
5115000,0
5120000,0
5125000,0
5130000,0
5135000,0
5140000,0
5145000,0
5150000,0
5155000,0
5160000,0
5165000,100
5170000,0
5175000,0
5180000,0
5185000,0
5190000,0
5195000,0
5200000,0
5205000,0
5210000,0
5215000,0
5220000,0
5225000,0
5230000,0
5235000,0
5240000,0
5245000,0
5250000,0
5255000,0
5260000,0
5265000,0
5270000,0
5275000,0
5280000,0
5285000,0
5290000,0
5295000,0
5300000,0
5305000,100
5310000,0
5315000,0
5320000,0
5325000,100
5330000,0
5335000,0
5340000,0
5345000,0
5350000,0
5355000,0
5360000,0
5365000,0
5370000,0
5375000,0
5380000,0
5385000,0
5390000,100
5395000,0
5400000,0
5405000,0
5410000,0
5415000,0
5420000,0
5425000,0
5430000,0
5435000,0
5440000,0
5445000,0
5450000,0
5455000,0
5460000,100
5465000,0
5470000,0
5475000,0
5480000,0
5485000,0
5490000,0
5495000,0
5500000,0
5505000,0
5510000,0
5515000,0
5520000,0
5525000,0
5530000,0
5535000,0
5540000,0
5545000,0
5550000,0
5555000,0
5560000,0
5565000,0
5570000,0
5575000,0
5580000,0
5585000,0
5590000,0
5595000,0
5600000,0
5605000,0
5610000,0
5615000,0
5620000,0
5625000,0
5630000,0
5635000,0
5640000,0
5645000,0
5650000,0
5655000,0
5660000,0
5665000,0
5670000,0
5675000,0
5680000,0
5685000,0
5690000,0
5695000,0
5700000,0
5705000,0
5710000,0
5715000,100
5720000,0
5725000,0
5730000,0
5735000,0
5740000,0
5745000,0
5750000,0
5755000,0
5760000,0
5765000,0
5770000,0
5775000,100
5780000,0
5785000,0
5790000,0
5795000,0
5800000,0
5805000,0
5810000,0
5815000,0
5820000,0
5825000,100
5830000,0
5835000,0
5840000,0
5845000,0
5850000,0
5855000,0
5860000,0
5865000,0
5870000,0
5875000,0
5880000,0
5885000,0
5890000,0
5895000,0
5900000,0
5905000,0
5910000,0
5915000,0
5920000,0
5925000,0
5930000,0
5935000,0
5940000,0
5945000,0
5950000,0
5955000,0
5960000,0
5965000,0
5970000,100
5975000,0
5980000,0
5985000,0
5990000,0
5995000,0
6000000,0
6005000,0
6010000,0
6015000,0
6020000,0
6025000,0
6030000,0
6035000,0
6040000,0
6045000,0
6050000,0
6055000,0
6060000,0
6065000,0
6070000,0
6075000,0
6080000,100
6085000,0
6090000,0
6095000,0
6100000,0
6105000,0
6110000,0
6115000,0
6120000,0
6125000,0
6130000,0
6135000,0
6140000,0
6145000,0
6150000,0
6155000,0
6160000,0
6165000,0
6170000,0
6175000,0
6180000,0
6185000,0
6190000,0
6195000,0
6200000,0
6205000,0
6210000,0
6215000,0
6220000,100
6225000,0
6230000,0
6235000,0
6240000,0
6245000,0
6250000,0
6255000,0
6260000,0
6265000,0
6270000,0
6275000,0
6280000,0
6285000,0
6290000,0
6295000,0
6300000,0
6305000,0
6310000,0
6315000,0
6320000,0
6325000,0
6330000,0
6335000,0
6340000,0
6345000,0
6350000,0
6355000,0
6360000,0
6365000,0
6370000,0
6375000,0
6380000,0
6385000,0
6390000,0
6395000,0
6400000,0
6405000,0
6410000,0
6415000,0
6420000,0
6425000,100
6430000,0
6435000,0
6440000,100
6445000,0
6450000,0
6455000,0
6460000,0
6465000,0
6470000,0
6475000,200
6480000,0
6485000,0
6490000,0
6495000,0
6500000,0
6505000,0
6510000,0
6515000,0
6520000,0
6525000,0
6530000,0
6535000,0
6540000,0
6545000,0
6550000,0
6555000,0
6560000,0
6565000,0
6570000,100
6575000,0
6580000,0
6585000,0
6590000,0
6595000,0
6600000,0
6605000,0
6610000,0
6615000,0
6620000,0
6625000,0
6630000,0
6635000,0
6640000,0
6645000,0
6650000,0
6655000,0
6660000,0
6665000,0
6670000,0
6675000,0
6680000,0
6685000,0
6690000,0
6695000,0
6700000,0
6705000,0
6710000,0
6715000,0
6720000,0
6725000,0
6730000,0
6735000,0
6740000,0
6745000,0
6750000,0
6755000,0
6760000,0
6765000,0
6770000,0
6775000,0
6780000,0
6785000,0
6790000,0
6795000,0
6800000,0
6805000,0
6810000,0
6815000,0
6820000,100
6825000,0
6830000,0
6835000,0
6840000,0
6845000,0
6850000,100
6855000,0
6860000,0
6865000,0
6870000,0
6875000,0
6880000,0
6885000,0
6890000,0
6895000,0
6900000,0
6905000,0
6910000,0
6915000,0
6920000,0
6925000,0
6930000,0
6935000,0
6940000,0
6945000,0
6950000,0
6955000,0
6960000,0
6965000,0
6970000,0
6975000,0
6980000,0
6985000,0
6990000,0
6995000,0
7000000,0
7005000,0
7010000,0
7015000,0
7020000,0
7025000,0
7030000,0
7035000,0
7040000,0
7045000,0
7050000,0
7055000,0
7060000,0
7065000,0
7070000,0
7075000,0
7080000,0
7085000,0
7090000,0
7095000,0
7100000,0
7105000,0
7110000,0
7115000,0
7120000,0
7125000,0
7130000,100
7135000,0
7140000,0
7145000,0
7150000,0
7155000,0
7160000,0
7165000,0
7170000,0
7175000,0
7180000,0
7185000,0
7190000,0
7195000,0
7200000,0
7205000,0
7210000,0
7215000,0
7220000,0
7225000,0
7230000,0
7235000,0
7240000,0
7245000,0
7250000,0
7255000,0
7260000,0
7265000,0
7270000,0
7275000,0
7280000,0
7285000,0
7290000,0
7295000,0
7300000,0
7305000,0
7310000,0
7315000,0
7320000,0
7325000,0
7330000,0
7335000,0
7340000,0
7345000,0
7350000,0
7355000,0
7360000,0
7365000,0
7370000,0
7375000,0
7380000,0
7385000,0
7390000,0
7395000,0
7400000,0
7405000,0
7410000,0
7415000,0
7420000,0
7425000,0
7430000,100
7435000,0
7440000,0
7445000,0
7450000,0
7455000,0
7460000,0
7465000,0
7470000,0
7475000,0
7480000,0
7485000,0
7490000,0
7495000,0
7500000,0
7505000,0
7510000,0
7515000,0
7520000,0
7525000,0
7530000,0
7535000,0
7540000,0
7545000,0
7550000,0
7555000,0
7560000,0
7565000,0
7570000,0
7575000,0
7580000,0
7585000,0
7590000,0
7595000,0
7600000,0
7605000,0
7610000,0
7615000,0
7620000,0
7625000,0
7630000,0
7635000,0
7640000,100
7645000,100
7650000,0
7655000,0
7660000,0
7665000,0
7670000,0
7675000,0
7680000,0
7685000,0
7690000,0
7695000,0
7700000,0
7705000,0
7710000,0
7715000,0
7720000,0
7725000,0
7730000,0
7735000,0
7740000,0
7745000,0
7750000,0
7755000,0
7760000,0
7765000,0
7770000,0
7775000,0
7780000,0
7785000,0
7790000,0
7795000,0
7800000,0
7805000,0
7810000,0
7815000,0
7820000,0
7825000,0
7830000,0
7835000,100
7840000,0
7845000,0
7850000,0
7855000,0
7860000,0
7865000,100
7870000,0
7875000,0
7880000,0
7885000,0
7890000,0
7895000,0
7900000,0
7905000,0
7910000,0
7915000,0
7920000,0
7925000,100
7930000,0
7935000,0
7940000,0
7945000,0
7950000,0
7955000,0
7960000,0
7965000,0
7970000,0
7975000,0
7980000,100
7985000,0
7990000,0
7995000,0
8000000,0
8005000,0
8010000,0
8015000,0
8020000,0
8025000,0
8030000,0
8035000,0
8040000,0
8045000,0
8050000,0
8055000,0
8060000,0
8065000,0
8070000,0
8075000,0
8080000,0
8085000,0
8090000,0
8095000,0
8100000,0
8105000,0
8110000,0
8115000,0
8120000,0
8125000,100
8130000,0
8135000,100
8140000,0
8145000,0
8150000,0
8155000,0
8160000,0
8165000,0
8170000,0
8175000,0
8180000,0
8185000,0
8190000,0
8195000,0
8200000,0
8205000,0
8210000,0
8215000,0
8220000,0
8225000,0
8230000,0
8235000,0
8240000,0
8245000,0
8250000,0
8255000,0
8260000,0
8265000,0
8270000,0
8275000,0
8280000,0
8285000,0
8290000,0
8295000,0
8300000,0
8305000,0
8310000,0
8315000,0
8320000,0
8325000,0
8330000,0
8335000,0
8340000,0
8345000,0
8350000,0
8355000,0
8360000,0
8365000,0
8370000,0
8375000,0
8380000,0
8385000,0
8390000,0
8395000,0
8400000,0
8405000,0
8410000,0
